availability_30,availability_60,availability_90,availability_365
28,47,74,239
0,0,0,0
16,46,76,343
0,0,0,0
28,58,88,363
0,0,0,93
7,19,33,118
27,57,87,362
10,10,21,296
0,0,0,0
30,31,31,243
0,0,0,32
0,0,0,0
0,0,0,0
0,0,0,0
30,60,90,365
0,0,0,0
16,40,67,335
14,24,40,220
0,0,0,0
3,19,37,37
0,0,0,0
5,16,35,265
0,0,0,0
30,60,87,359
30,60,90,365
30,60,90,365
30,60,90,365
0,0,0,46
0,0,0,0
0,0,0,0
30,60,90,365
30,60,90,365
20,29,29,34
0,0,0,0
0,0,0,0
0,0,0,0
0,0,19,20
30,60,90,365
30,60,90,365
0,0,0,0
30,60,90,365
24,54,84,174
0,0,0,0
0,0,25,26
20,50,80,135
0,0,0,0
0,13,43,196
30,60,90,365
28,58,88,178
30,60,90,145
18,41,67,339
11,41,71,247
0,3,16,246
18,40,70,345
13,43,62,278
20,45,75,165
0,0,0,0
0,0,0,0
0,3,5,5
28,58,88,363
28,58,88,363
10,17,26,229
22,52,82,357
0,0,0,0
20,50,80,170
30,60,90,365
0,0,0,0
0,10,15,264
0,11,41,316
17,36,55,317
28,58,88,347
30,60,90,365
12,27,53,321
3,18,41,316
24,45,60,309
0,0,0,0
0,0,0,0
5,26,35,228
0,0,0,0
0,0,0,27
30,60,90,365
0,3,3,3
30,60,90,365
30,60,90,365
30,60,90,365
18,29,51,326
16,42,61,309
30,60,90,365
22,52,82,172
30,60,90,365
12,39,65,65
0,0,0,0
0,0,0,0
1,6,8,168
11,37,48,267
0,0,0,0
13,16,27,174
0,16,46,314
17,47,77,342
6,10,12,204
3,26,53,323
19,32,48,211
23,44,74,336
0,0,0,0
5,35,65,339
0,0,0,0
5,25,46,214
12,26,49,317
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,12,24,243
23,53,83,358
20,47,77,352
0,0,0,0
0,0,0,0
23,53,83,358
5,35,64,64
3,5,11,276
19,27,38,289
11,41,63,329
0,0,0,0
0,0,0,232
30,60,90,365
10,10,22,297
29,59,84,359
0,0,0,0
30,60,90,365
8,38,68,343
8,10,15,280
8,14,27,253
0,0,0,0
4,10,30,108
30,60,90,365
30,60,90,180
19,22,50,140
30,60,85,360
7,24,47,306
30,60,87,267
23,53,83,358
0,0,0,0
13,16,30,198
0,0,0,0
1,1,1,66
0,0,0,0
15,42,42,100
28,58,88,363
0,0,0,0
0,0,0,32
1,9,25,300
13,18,37,312
28,58,88,88
5,21,40,215
9,32,62,62
0,0,0,0
0,0,0,0
30,60,90,365
30,60,85,360
29,59,89,364
0,7,13,117
18,48,78,287
14,44,74,283
29,59,89,364
11,17,30,276
0,0,0,0
10,29,52,295
0,26,56,236
0,0,0,0
2,10,21,272
23,53,83,173
28,53,82,357
6,27,57,57
14,26,52,258
30,60,90,365
14,25,39,194
16,40,70,324
12,15,23,127
30,60,90,365
22,52,82,357
21,36,60,333
2,32,62,336
0,0,0,92
30,60,90,365
0,0,0,100
0,0,0,0
0,0,0,0
0,0,0,0
28,58,83,358
0,0,0,0
30,60,90,365
7,11,11,12
1,3,15,142
2,5,27,115
1,7,23,291
0,0,0,42
0,0,0,0
4,6,15,182
0,0,0,0
0,0,0,157
13,20,42,257
3,3,16,16
0,0,0,0
0,0,0,0
0,0,0,0
30,60,90,365
19,48,78,353
14,35,43,125
30,60,90,365
0,0,0,0
10,19,26,92
16,46,76,351
7,30,53,322
12,23,32,259
0,0,0,0
7,22,51,322
8,30,40,275
0,0,0,0
23,53,75,75
6,11,16,266
30,60,90,365
3,14,44,130
9,19,32,284
30,60,90,365
0,0,0,0
0,0,0,0
28,58,88,363
30,60,90,365
29,50,55,216
0,0,0,0
23,53,83,358
28,58,88,363
7,7,16,180
30,53,70,345
14,21,36,245
17,47,77,348
4,10,20,270
0,9,30,143
0,0,0,0
0,0,0,0
0,3,3,3
0,0,0,36
5,35,65,340
0,0,0,0
9,30,55,133
0,6,36,311
0,0,0,0
0,0,0,0
30,60,90,365
0,0,0,0
4,4,4,214
30,60,90,365
0,0,0,0
27,57,87,362
2,10,28,223
0,0,0,193
29,42,62,138
2,6,16,135
0,0,0,0
4,27,57,305
4,4,10,183
7,14,33,33
30,60,90,180
0,0,0,252
0,0,0,0
0,0,0,0
28,58,88,88
2,27,45,109
0,0,1,219
14,15,15,15
30,60,90,365
0,0,0,180
12,29,59,293
4,8,33,117
0,0,0,0
0,0,0,0
0,0,0,0
27,57,87,267
0,0,0,0
0,0,0,0
2,6,8,143
13,43,73,95
14,35,65,340
0,0,0,45
2,14,29,179
30,60,90,365
26,56,86,361
0,0,0,0
25,53,80,155
7,29,41,154
11,14,25,80
19,49,79,354
0,0,0,0
0,0,0,145
9,30,49,289
2,16,41,316
29,59,89,364
0,0,0,0
17,47,77,352
0,0,0,0
5,11,17,158
0,0,0,0
0,0,0,0
0,0,0,0
